Team, Date Eliminated
Atlanta Hawks, playoffs
Boston Celtics, playoffs
Brooklyn Nets, 3/8/17
Charlotte Hornets, 4/8/17
Chicago Bulls, playoffs
Cleveland Cavaliers, playoffs
Dallas Mavericks, 4/4/17
Denver Nuggets, 4/10/17
Detroit Pistons, 4/10/17
Golden State Warriors, playoffs
Houston Rockets, playoffs
Indiana Pacers, playoffs
LA Clippers, playoffs
Los Angeles Lakers, 3/19/17
Memphis Grizzlies, playoffs
Miami Heat, 4/12/17
Milwaukee Bucks, playoffs
Minnesota Timberwolves, 4/1/17
New Orleans Pelicans, 4/4/17
New York Knicks, 3/29/17
Oklahoma City Thunder, playoffs
Orlando Magic, 3/28/17
Philadelphia 76ers, 3/29/17
Phoenix Suns, 3/22/17
Portland Trail Blazers, 4/12/17
Sacramento Kings, 3/30/17
San Antonio Spurs, playoffs
Toronto Raptors, playoffs
Utah Jazz, playoffs
Washington Wizards, playoffs
